Comments,Label
দেশের প্রথম এভিয়েশন বিশ্ববিদ্যালয় হচ্ছে ঢাকায়,1.0
"বুধবার দেশের সর্বোচ্চ তাপমাত্রা ছিল ভোলায় ১৯ সেপ্টেম্বর, ২০১৮ ২২:২৯",1.0
পূর্বধলায় দাফনের ২১দিন পর শিশুর লাশ উত্তোলন,1.0
স্নাইপার হাতে বাজিমাত পুতিনের,1.0
অর্থপাচারের ২১ অভিযোগের মুখোমুখি নাজিব,1.0
চাঁদের চারপাশ ঘেরা বৈদ্যুতিক আবরণে,1.0
শেখ হাসিনার অধীনে নির্বাচনে যাওয়ার কথা বলেননি ড. কামাল,1.0
পুঁজিবাজারে সূচকের পতন,1.0
সৌদিতে নারী কর্মী নির্যাতনের ভিন্ন ব্যাখ্যা দিলেন মন্ত্রী,1.0
সিনহার কথাতেই সব স্পষ্ট: রিজভী,1.0
মুক্তি পেলেন নওয়াজ-মরিয়ম,1.0
দুর্নীতির দায়ে গ্রেফতার মালয়েশিয়ার সাবেক প্রধানমন্ত্রী নাজিব,1.0
আজ খুলনা যাচ্ছেন রাষ্ট্রপতি,1.0
রিয়াদ-ইমরুলের পর ফিজ জাদুতে মুগ্ধ সাবেকরা,1.0
"বিয়ে হয় এক রাতের জন্য, সম্পর্কের মেয়াদ ঠিক করে কনে",1.0
মধ্য প্রদেশে আশ্রয় কেন্দ্রে প্রতিবন্ধী নারীকে ধর্ষণ,1.0
শিক্ষকের এক ঘুষিতে অজ্ঞান ছাত্র,1.0
নিজেদের ঝালিয়ে নিলো বসুন্ধরা কিংস,1.0
ভিজিটিং কার্ড কেমন হলে চাকরির অফার পাবেন,1.0
ফেসবুক সব রাজনৈতিক দলের জন্য বিনামূল্যে বিজ্ঞাপনের ব্যাপারে উপদেশ দেবে,1.0
আফগান শিবিরে ফের সাকিবের আঘাত,1.0
সুপার ফোরের সূচিতে ‘সুবিধা’ই হয়েছে বাংলাদেশের?,1.0
পরমাণু নিরস্ত্রীকরণে দুই কোরিয়া সম্মত,1.0
জুনে খুলছে ঢাকা-ভাঙ্গা এক্সপ্রেসওয়ে,1.0
লন্ডনে প্রধানমন্ত্রীর যাত্রাবিরতি,1.0
"শিশুটি এখন বলিউড স্টার, বলুন তো কোন নায়িকা?",1.0
"পুলিশি নির্যাতন গণতন্ত্র প্রতিষ্ঠার পথে বাধা, রাজনৈতিক নেতৃবৃন্দের নিন্দা",1.0
সরকারি গৃহঋণের আবেদন অক্টোবর থেকে,1.0
মুঠোয় তোলা চাল বন্যার্তদের দিলেন আদিবাসীরা,1.0
"মাদারীপুরে যৌন হয়রানি, ভ্যানচালকের ৩ মাসের কারাদণ্ড",1.0
গণসংহ‌তি’র নেতাকর্মী‌দের ওপর হামলার প্রতিবাদে বিক্ষোভ,1.0
"‘ঐক্যের সমাবেশে’ বিএনপি, বি.চৌধুরী আসবে, শুনেছেন মান্না",1.0
নাশকতার পরিকল্পনার অভিযোগে শিবিরের তিন নেতা গ্রেফতার,1.0
দুই ইঞ্জিনের বাইক,1.0
জয়পুরহাটে ২৭ হাজার ১৪৪ মেট্রিক টন বোরো চাল সংগ্রহ,1.0
দেশের কল্যাণে কাজে লাগে এমন কিছু করুন ॥ সাংবাদিকদের প্রধানমন্ত্রী,1.0
বললেই খাবার রাঁধবে ৬০ ডলারের ওভেন,1.0
এএফসি অনূর্ধ্ব-১৬ মহিলা ফুটবল চ্যাম্পিয়ন : আমিরাত ০: ৭ বাংলাদেশ,1.0
গান গেয়ে মঞ্চ মাতালেন পলক,1.0
চট্টগ্রামে আগুনে পুড়লো ১২ বসতঘর,1.0
কেন আমাকে হাসপাতালে নেয়া হচ্ছে না?,1.0
পার্কিং প্রশিক্ষণ শেষ হলো সুইমিং পুলে!,1.0
অসহায় আত্মসমর্পণে গৌরবের ছবিটা ফিকে করছে বাংলাদেশ,1.0
কক্সবাজার সফর করবেন ওবায়দুল কাদের,1.0
ইয়েমেনে সংঘর্ষ চলছেই,1.0
দ্বিতীয় বিভাগ দাবায় চ্যাম্পিয়ন শাহিন চেস ক্লাব,1.0
"বলিউডে নওয়াজ ও শহীদ, টলিউডে শাকিব!",1.0
আফগানদের কাছে বিধ্বস্ত বাংলাদেশ,1.0
ওসমানি বিমানবন্দরে ৪ কেজি স্বর্ণ উদ্ধার,1.0
চার উইকেট হারিয়ে চাপে বাংলাদেশ,1.0
রাখাইনে সেনা অভিযানকে ‘গণহত্যা’ বললো কানাডা,1.0
পাকিস্তানকে ভালো লক্ষ্য দিল আফগানরা,1.0
সিলেট পুলিশে বদলি আতঙ্ক,1.0
আফজাল শরীফকে ২০ লাখ টাকা দিলেন প্রধানমন্ত্রী,1.0
২২তম অধিবেশনে ১৮ বিল পাস,1.0
বাংলাদেশ এখনও জঙ্গি হামলার ঝুঁকিতে: যুক্তরাষ্ট্র,1.0
সিরিয়ার উপকূলীয় সীমান্ত বন্ধ করে দিচ্ছে রাশিয়া,1.0
রনির জোড়া আঘাতে চাপে আফগানিস্তান,1.0
